,cmte_id,amndt_ind,rpt_tp,transaction_pgi,transaction_tp,entity_tp,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,file_num
728685,C00010603,A,M7,Desconhecido,15,IND,WOODBRIDGE,VA,22192.0,missing,retired,2011-06-21,7.313220387090301,751491.0
2286489,C00503052,A,12P,P,15,IND,NEW YORK,NY,10024.0,missing,retired,2012-05-14,5.521460917862246,798151.0
1502818,C00003418,A,12G,Desconhecido,15,IND,MANHASSET,NY,11030.0,missing,retired,2012-10-05,5.298317366548036,867755.0
2799944,C00494740,N,M8,P,15,IND,SLIDELL,LA,70461.0,missing,retired,2012-07-16,5.298317366548036,805999.0
334262,C00494740,A,YE,P,15,IND,JACKSONVILLE,FL,32210.0,missing,retired,2011-10-22,6.214608098422191,782991.0
499157,C00495523,A,YE,P,15E,IND,BERKELEY,CA,94705.0,missing,retired,2011-10-31,6.214608098422191,866756.0
2757109,C00516047,N,Q1,P,15,IND,AUBURN,ME,4212.0,missing,retired,2012-03-22,7.824046010856292,782414.0
2946111,C00318196,A,Q3,P,15,IND,SWAMPSCOTT,MA,01907,missing,retired,2012-08-29,7.824046010856292,872587.0
963875,C00350421,A,YE,P,15,IND,DANVILLE,IL,61834.0,missing,retired,2011-11-09,6.214608098422191,774949.0
2759541,C00008086,A,M3,Desconhecido,15,IND,KALISPELL,MT,59901.0,missing,retired,2012-02-23,5.703782474656201,791755.0
2938163,C00000935,A,M9,Desconhecido,15E,IND,SLEEPY HOLLOW,NY,10591,missing,retired,2012-08-30,6.214608098422191,837665.0
1758794,C00000935,A,M10,P,15E,IND,WASHINGTON,DC,20024,missing,retired,2012-09-23,5.521460917862246,880688.0
1042300,C00401224,N,M4,Desconhecido,24T,IND,SANTA MONICA,CA,90403.0,missing,retired,2012-03-01,7.824046010856292,778552.0
2553438,C00431445,A,M8,P,15,IND,MILL VALLEY,CA,94941.0,missing,retired,2012-07-14,6.907755278982137,896964.0
2117303,C00494740,A,M10,P,15,IND,LOS ANGELES,CA,90036.0,missing,retired,2012-09-27,6.214608098422191,870880.0
463040,C00431171,A,YE,P,15,IND,RICHMOND,VA,23226.0,missing,retired,2011-11-28,7.313220387090301,896726.0
3101938,C00518282,A,30G,P,15,IND,GALVESTON,TX,77554.0,missing,retired,2012-10-28,5.521460917862246,890355.0
1217262,C00003418,A,M4,Desconhecido,15,IND,KIRKLAND,WA,98033.0,missing,retired,2012-03-09,5.703782474656201,804118.0
2569432,C00431445,A,YE,G,22Y,IND,ROSWELL,GA,30076.0,missing,retired,2012-12-05,3.2188758248682006,896990.0
2476844,C00393652,N,12G,G,15E,IND,NY,NY,10024.0,missing,retired,2012-10-01,6.214608098422191,841472.0
2258048,C00503391,N,Q2,P,15,IND,VANDALIA,MO,63382.0,missing,retired,2012-06-25,5.298317366548036,801055.0
1260222,C00502294,N,Q3,G,15,IND,SAN RAMON,CA,94582.0,missing,retired,2012-09-28,5.521460917862246,818558.0
1455697,C00042366,A,M10,Desconhecido,15E,IND,ST PETERSBURG,FL,33704.0,retired,retired,2012-09-22,6.214608098422191,841874.0
930378,C00013128,A,Q3,P,15,IND,MEDFORD,NJ,8055.0,missing,retired,2011-09-30,6.907755278982137,790696.0
1453278,C00042366,A,M10,Desconhecido,15,IND,SPOKANE,WA,99203.0,missing,retired,2012-09-14,6.214608098422191,841874.0
2494491,C00502849,A,M6,Desconhecido,10,IND,RIVER FOREST,IL,60305.0,missing,retired,2012-05-03,5.521460917862246,841880.0
130697,C00140061,N,MY,Desconhecido,15,IND,ROCKWALL,TX,75032.0,missing,retired,2011-03-10,5.298317366548036,740277.0
206381,C00431312,N,M12,Desconhecido,15,IND,INDIANAPOLIS,IN,46260.0,missing,retired,2011-11-04,6.214608098422191,755662.0
37512,C00271338,N,M5,Desconhecido,24I,PAC,NORTH OLMSTED,OH,44070.0,missing,retired,2011-04-12,7.824046010856292,729425.0
1963708,C00431445,A,M9,P,15,IND,MANCHESTR CTR,VT,5255.0,missing,retired,2012-08-15,7.824046010856292,897073.0
462250,C00341396,A,YE,Desconhecido,15,IND,SEWANEE,TN,37375.0,missing,retired,2011-12-20,5.298317366548036,864348.0
696523,C00494740,A,Q2,P,15,IND,UNIONDALE,NY,11553.0,missing,retired,2011-06-19,9.210340371976184,748092.0
917690,C00391243,A,YE,P,15,IND,SANIBEL,FL,33957.0,missing,retired,2011-12-05,6.214608098422191,764983.0
1874083,C00431445,A,M4,P,15,IND,BELLMORE,NY,11710,missing,retired,2012-03-21,5.521460917862246,896852.0
1015369,C00122176,N,Q2,P,15,IND,BOURBON,IN,46504.0,missing,retired,2012-04-25,6.907755278982137,799448.0
2756896,C00264697,A,Q1,G,15,IND,CLEVELAND,OH,44114.0,missing,retired,2012-02-17,6.907755278982137,780650.0
468451,C00431171,A,YE,P,15,IND,BONITA,CA,91902.0,missing,retired,2011-12-07,7.824046010856292,896726.0
2783483,C00494120,N,Q2,P,15,IND,VERO BEACH,FL,32963.0,missing,retired,2012-06-29,6.214608098422191,804200.0
2746761,C00486563,N,Q1,P,15E,IND,ENGLEWOOD,NJ,7631.0,missing,retired,2012-03-12,6.214608098422191,780775.0
666119,C00280537,N,Q3,P,15,IND,BRONXVILLE,NY,10708.0,missing,retired,2011-09-30,6.214608098422191,748588.0
1300318,C00498634,A,Q3,G,15,IND,HIGHLAND PARK,IL,60035.0,retired,retired,2012-09-25,5.521460917862246,819157.0
3270856,C00431171,A,30G,G,15,IND,ROCHESTER HILLS,MI,48307.0,missing,retired,2012-11-02,5.521460917862246,933479.0
1806273,C00003418,A,M8,Desconhecido,15,IND,SPRINGVILLE,UT,84663.0,missing,retired,2012-07-12,5.521460917862246,872159.0
2945334,C00000935,A,M9,Desconhecido,15,IND,GRAND RAPIDS,MI,49506,missing,retired,2012-08-17,5.298317366548036,837665.0
2051765,C00431445,A,12G,G,22Y,IND,HOUSTON,TX,77027.0,missing,retired,2012-10-15,4.948759890378168,897092.0
333388,C00494740,A,YE,P,15,IND,SEATTLE,WA,98109.0,missing,retired,2011-12-06,5.521460917862246,782991.0
3039703,C00494120,A,Q3,P,15,IND,DENVER,CO,80209.0,missing,retired,2012-07-12,6.907755278982137,834278.0
696405,C00494740,A,Q2,P,15,IND,COLLEGE PARK,MD,20740.0,missing,retired,2011-05-07,5.521460917862246,748092.0
354285,C00003418,A,M7,Desconhecido,15,IND,LAKE WINNEBAGO,MO,64034.0,requested,retired,2011-06-27,6.214608098422191,773062.0
3224500,C00431171,A,12G,G,15,IND,SCOTTSDALE,AZ,85261.0,missing,retired,2012-10-03,6.214608098422191,933475.0
2087010,C00431445,A,12G,G,15,IND,BOWIE,MD,20716.0,missing,retired,2012-10-07,5.521460917862246,897092.0
1363308,C00489781,N,30G,Desconhecido,10,IND,GLENCOE,IL,60022.0,missing,retired,2012-10-13,5.521460917862246,838801.0
134574,C00286500,N,Q3,P,15,IND,AUSTIN,TX,78728.0,missing,retired,2011-09-29,6.214608098422191,748997.0
3104567,C00518282,A,Q3,P,15,IND,DELTA,UT,84624.0,missing,retired,2012-09-25,7.600902459542082,889722.0
784632,C00083279,N,YE,Desconhecido,15,IND,SHERMAN OAKS,CA,91423.0,missing,retired,2011-09-16,5.616771097666572,763597.0
2903530,C00468116,A,Q3,G,15,IND,LITTLE ROCK,AR,72201,missing,retired,2012-08-22,5.521460917862246,827082.0
621671,C00010082,N,MY,Desconhecido,15,IND,LUBBOCK,TX,79423.0,missing,retired,2011-05-13,6.620073206530356,739620.0
169409,C00385773,A,Q3,P,15,IND,MIAMI,FL,33233.0,missing,retired,2011-09-30,7.824046010856292,758114.0
100056,C00420174,N,M8,Desconhecido,15,IND,LOS ANGELES,CA,90067.0,missing,retired,2011-07-05,9.210340371976184,742451.0
1539381,C00431445,A,M10,G,15,IND,GREENBELT,MD,20770,missing,retired,2012-09-27,6.907755278982137,897086.0
2825836,C00401224,N,M8,Desconhecido,24T,IND,LITTLE ROCK,AR,72223,missing,retired,2012-07-10,5.521460917862246,804867.0
819715,C00482737,N,YE,P,15,IND,TIFTON,GA,31794.0,information requested,retired,2011-12-02,6.907755278982137,763252.0
1381432,C00494740,N,30G,G,15,IND,SUMMERVILLE,GA,30747.0,missing,retired,2012-10-25,5.298317366548036,839903.0
2706004,C00432260,N,M5,P,24I,IND,ARROYO GRANDE,CA,93420.0,missing,retired,2012-04-23,6.907755278982137,784457.0
1344005,C00075820,A,M7,Desconhecido,15,IND,DUBLIN,OH,43016.0,missing,retired,2012-06-14,5.298317366548036,842599.0
1145426,C00494013,A,Q1,P,15,IND,HAMBURG,NY,14075.0,missing,retired,2012-03-31,6.907755278982137,811845.0
3036758,C00441451,A,Q3,G,15,IND,HONOLULU,HI,96821.0,missing,retired,2012-08-29,7.600902459542082,851742.0
742521,C00500587,A,Q3,P,15,IND,FORT WORTH,TX,76109.0,missing,retired,2011-08-30,5.521460917862246,751678.0
393214,C00166504,A,Q3,P,15,IND,PORTAGE,IN,46368.0,missing,retired,2011-09-02,5.703782474656201,776756.0
2441107,C00003418,A,M7,Desconhecido,15,IND,TUCSON,AZ,85748.0,missing,retired,2012-06-27,6.214608098422191,834192.0
1479547,C00503409,A,12G,G,15,IND,MIDDLETON,WI,53562.0,missing,retired,2012-10-01,5.298317366548036,843257.0
1904078,C00431445,A,30G,G,22Y,IND,TAMPA,FL,33613.0,missing,retired,2012-10-29,2.995732273553991,876050.0
921402,C00240226,A,YE,Desconhecido,15,IND,MARSHALL,MO,65340.0,missing,retired,2011-12-15,8.517193191416238,791566.0
1320452,C00495010,N,12G,Desconhecido,15,IND,BONITA SPRINGS,FL,34134.0,missing,retired,2012-10-05,5.521460917862246,828259.0
2988712,C00166710,A,30G,Desconhecido,15,IND,CHANDLER,AZ,85226.0,missing,retired,2012-10-26,5.521460917862246,851256.0
2484026,C00459297,A,30G,G,15,IND,MUSKEGON,MI,49441.0,missing,retired,2012-11-01,7.600902459542082,841802.0
1944367,C00431445,A,M9,P,15,IND,ORINDA,CA,94563.0,missing,retired,2012-08-10,5.298317366548036,897073.0
720296,C00494393,A,Q2,G,15,IND,NEW YORK,NY,10022.0,missing,retired,2011-06-30,7.824046010856292,748365.0
514040,C00431171,A,Q3,P,15,IND,RICHMOND,CA,94804.0,missing,retired,2011-09-29,5.521460917862246,933464.0
2394195,C00494948,N,YE,P,15,IND,ENID,OK,73703.0,missing,retired,2012-12-05,5.991464547107982,858460.0
1806696,C00431445,A,30G,G,15,IND,TOPANGA,CA,90290.0,missing,retired,2012-10-24,6.214608098422191,876050.0
1701335,C00431171,A,M8,P,15,IND,MAHOMET,IL,61853.0,missing,retired,2012-07-09,5.521460917862246,944286.0
1537066,C00431445,A,M10,G,15,IND,ARLINGTON,VA,22207,missing,retired,2012-09-15,6.214608098422191,897086.0
2697222,C00498121,N,12P,R,15,IND,FORT WORTH,TX,76102.0,missing,retired,2012-04-04,7.783224016336037,784749.0
2574770,C00395533,A,M10,P,15,IND,FILLMORE,CA,93015.0,retired,retired,2012-09-28,6.214608098422191,853209.0
2275921,C00497180,N,Q2,P,15,IND,EVERGREEN,CO,80439.0,missing,retired,2012-06-13,6.214608098422191,796748.0
2056552,C00431445,A,M9,P,15,IND,TAMPA,FL,33603.0,missing,retired,2012-08-31,5.521460917862246,897073.0
3097351,C00518282,A,Q2,P,15,IND,SAN ANTONIO,TX,78230.0,missing,retired,2012-06-11,7.824046010856292,889719.0
2293687,C00482125,N,Q2,Desconhecido,15,IND,DALLAS,TX,75252.0,missing,retired,2012-04-04,8.517193191416238,797909.0
3257655,C00431171,A,M9,P,15,IND,BLOOMFIELD HILLS,MI,48304.0,missing,retired,2012-08-16,5.521460917862246,896743.0
1024580,C00432906,N,Q1,P,15,IND,BABSON PARK,FL,33827.0,missing,retired,2012-03-19,5.521460917862246,777684.0
2136218,C00494740,A,12G,G,15,IND,ARLINGTON,TX,76016,missing,retired,2012-10-03,6.214608098422191,870885.0
1637807,C00431445,A,M7,P,15,IND,INDIANAPOLIS,IN,46220.0,missing,retired,2012-06-21,6.214608098422191,896900.0
2011703,C00431445,A,M9,P,15,IND,HUDSON,NH,3051.0,missing,retired,2012-08-22,6.907755278982137,897073.0
514281,C00431171,A,Q3,P,15,IND,ALEXANDRIA,VA,22307.0,missing,retired,2011-09-30,7.313220387090301,933464.0
195170,C00431445,A,Q3,P,15,IND,CORRALES,NM,87048.0,missing,retired,2011-09-27,6.214608098422191,756218.0
3269358,C00431171,A,M9,P,15,IND,CHAGRIN FALLS,OH,44022.0,missing,retired,2012-08-17,5.298317366548036,896743.0
3120660,C00518282,A,Q3,P,15,IND,ROLLING HILLS ESTA,CA,90274,missing,retired,2012-09-08,5.298317366548036,889722.0
725878,C00010603,A,M5,Desconhecido,22Y,IND,MANITOU BEACH,MI,49253.0,missing,retired,2011-04-19,2.4849066497880004,751489.0
291720,C00075820,A,M11,Desconhecido,15,IND,RENO,NV,89511.0,missing,retired,2011-10-11,5.298317366548036,789627.0
1196715,C00503052,N,Q2,P,15,IND,GLENCOE,IL,60022.0,missing,retired,2012-06-15,5.521460917862246,798167.0
272431,C00462861,A,YE,P,15E,IND,HOUMA,LA,70360.0,missing,retired,2011-12-22,5.41610040220442,816317.0
2657044,C00523258,A,30G,G,15E,IND,PALO ALTO,CA,94306.0,missing,retired,2012-10-24,7.824046010856292,856958.0
2790292,C00024968,N,M9,Desconhecido,15,IND,SPOKANE,WA,99223.0,missing,retired,2012-08-17,5.521460917862246,809223.0
2523701,C00042366,A,30G,Desconhecido,15,IND,NEW YORK,NY,10016.0,missing,retired,2012-11-01,8.006367567650246,857115.0
217380,C00424713,A,YE,P,15,IND,NEWPORT BEACH,CA,92663.0,missing,retired,2011-10-11,5.521460917862246,788999.0
2586362,C00003418,A,M9,Desconhecido,15,IND,AUGUSTA,KS,67010.0,missing,retired,2012-08-29,6.214608098422191,853945.0
963183,C00401224,A,YE,Desconhecido,24T,IND,BOULDER,CO,80302.0,missing,retired,2011-12-31,6.620073206530356,781824.0
1048266,C00401224,N,M4,Desconhecido,24T,IND,HONOLULU,HI,96825.0,missing,retired,2012-03-21,7.313220387090301,778552.0
1536717,C00431445,A,M10,G,15,IND,LOS ALTOS HILLS,CA,94024,missing,retired,2012-09-30,6.907755278982137,897086.0
980976,C00497511,N,M2,P,15,IND,WINSTON SALEM,NC,27106.0,retired,retired,2012-01-05,6.111467339502679,772097.0
679079,C00257337,N,Q3,G,15,IND,ANAHEIM,CA,92817.0,missing,retired,2011-09-30,6.214608098422191,748639.0
1135877,C00432948,N,Q2,P,15,IND,INDIANAPOLIS,IN,46278.0,missing,retired,2012-05-03,5.521460917862246,798522.0
2370055,C00512970,A,12P,P,15,IND,BOSTON,MA,2118.0,missing,retired,2012-07-11,6.214608098422191,812688.0
2622923,C00507293,A,TER,P,15,IND,MADISON,FL,32341.0,missing,retired,2012-08-10,5.298317366548036,859202.0
107170,C00224691,A,Q2,P,15,IND,COSTA MESA,CA,92626.0,missing,retired,2011-04-10,5.521460917862246,746938.0
2032723,C00431445,A,12G,G,15,IND,SNOWMASS,CO,81654.0,missing,retired,2012-10-17,5.521460917862246,897092.0
1076467,C00496034,N,M4,P,15,IND,WEXFORD,PA,15090.0,missing,retired,2012-03-19,6.214608098422191,780310.0
771915,C00000935,A,M9,Desconhecido,15,IND,BROOKLINE,MA,2445.0,missing,retired,2011-08-24,5.521460917862246,756749.0
1006306,C00139741,N,Q1,Desconhecido,15,IND,CHEVY CHASE,MD,20815.0,missing,retired,2012-01-18,5.521460917862246,776748.0
82055,C00497644,N,Q2,P,15E,IND,BOSTON,MA,02120,missing,retired,2011-06-30,6.214608098422191,735840.0
2970767,C00075820,A,M10,Desconhecido,15,IND,MISHAWAKA,IN,46544.0,missing,retired,2012-09-05,5.3471075307174685,859569.0
1755629,C00431445,A,30G,G,15,IND,ARVADA,CO,80003,missing,retired,2012-10-29,5.298317366548036,876050.0
2696406,C00496620,N,12C,C,15,IND,NEW BRITAIN,CT,6051.0,missing,retired,2012-04-24,5.298317366548036,781434.0
933564,C00031054,A,YE,Desconhecido,15,IND,MACOMB,MI,48044.0,missing,retired,2011-12-09,5.703782474656201,781415.0
2074087,C00467233,A,Q3,P,15,IND,MILTON,MA,2186.0,missing,retired,2012-08-31,5.703782474656201,857959.0
2330374,C00318931,N,Q3,G,15,IND,STATEN ISLAND,NY,10302.0,missing,retired,2012-08-07,6.907755278982137,817248.0
2594123,C00499350,A,12P,P,15,IND,PHOENIX,AZ,85004.0,missing,retired,2012-04-19,7.824046010856292,787317.0
2196193,C00193433,N,M3,Desconhecido,15,IND,NEW YORK,NY,10012,missing,retired,2012-02-28,5.60947179518496,770623.0
178344,C00431445,A,Q3,P,15,IND,MADISON,MS,39110.0,missing,retired,2011-07-19,6.214608098422191,756218.0
2448917,C00492785,N,Q3,G,15,IND,HOUSTON,TX,77019.0,missing,retired,2012-09-24,6.907755278982137,833653.0
871068,C00494740,A,Q3,P,15,IND,WASHINGTON,DC,20024.0,missing,retired,2011-07-07,6.907755278982137,762332.0
2711431,C00014555,N,M5,Desconhecido,15,IND,PLEASANTON,CA,94588.0,missing,retired,2012-04-30,7.824046010856292,785065.0
1888672,C00431445,A,30G,G,15,IND,YARMOUTH,ME,04096,missing,retired,2012-10-28,5.521460917862246,876050.0
1633988,C00431445,A,M7,P,15,IND,OKEMOS,MI,48864.0,missing,retired,2012-06-26,6.214608098422191,896900.0
1731491,C00075820,A,30G,Desconhecido,15,IND,ROYAL OAK,MI,48073,missing,retired,2012-11-19,5.703782474656201,872465.0
2174699,C00255695,N,M3,Desconhecido,15,IND,WALDWICK,NJ,7463.0,missing,retired,2012-02-15,5.978885764901122,771882.0
1577753,C00431445,A,M10,P,15,IND,EDINA,MN,55436.0,missing,retired,2012-09-06,6.214608098422191,897086.0
2508610,C00506709,A,Q3,G,15,IND,LOS BANOS,CA,93635.0,missing,retired,2012-09-15,5.298317366548036,859740.0
3328122,C00431171,A,M10,G,15,IND,LUFKIN,TX,75901.0,missing,retired,2012-09-11,5.521460917862246,944828.0
2888059,C00386748,N,12G,G,15,IND,WINSTON SALEM,NC,27104,missing,retired,2012-10-17,6.214608098422191,826495.0
877665,C00496034,A,Q2,P,15,IND,PRINCETON,NJ,8540.0,missing,retired,2011-06-30,7.824046010856292,763178.0
1251773,C00031088,A,M7,Desconhecido,15,IND,SPANAWAY,WA,98387.0,missing,retired,2012-06-08,6.51471269087253,821455.0
1033611,C00156612,N,Q1,P,15,IND,WASHINGTON,DC,20016.0,missing,retired,2012-03-26,7.824046010856292,777938.0
3211624,C00431171,A,12G,G,15,IND,SUMMERFIELD,FL,34491.0,missing,retired,2012-10-12,5.298317366548036,933475.0
2760695,C00517300,N,Q2,P,15,IND,MINNEAPOLIS,MN,55419.0,missing,retired,2012-06-28,5.521460917862246,795170.0
494760,C00431445,A,YE,P,15,IND,FAYETTEVILLE,GA,30214.0,missing,retired,2011-12-26,6.214608098422191,896693.0
1266129,C00474478,N,Q3,G,15,IND,JACKSONVILLE,FL,32216.0,missing,retired,2012-08-15,5.521460917862246,818635.0
3052824,C00193342,A,Q3,P,15,IND,LOUISVILLE,KY,40207.0,missing,retired,2012-08-27,7.313220387090301,833206.0
494300,C00473579,A,Q3,P,15,IND,BEACH PARK,IL,60099.0,missing,retired,2011-09-30,6.907755278982137,945630.0
2446481,C00495358,A,12P,P,15,IND,BOYCE,VA,22620.0,missing,retired,2012-05-02,5.521460917862246,858374.0
1741493,C00027466,A,M9,Desconhecido,15,IND,BRUCETON MILLS,WV,26525,missing,retired,2012-08-24,7.313220387090301,811977.0
572871,C00325738,A,Q2,P,15,IND,LAS VEGAS,NV,89134.0,missing,retired,2011-06-06,6.214608098422191,738318.0
1496970,C00003418,A,12G,Desconhecido,15,IND,ROSEVILLE,CA,95747.0,missing,retired,2012-10-16,5.521460917862246,867755.0
2725785,C00323048,N,M5,Desconhecido,15,IND,WASHINGTON,DC,20005.0,missing,retired,2012-04-30,5.337538079701318,785283.0
362953,C00147686,A,YE,P,15,IND,LOS ANGELES,CA,90077.0,missing,retired,2011-12-30,6.214608098422191,781686.0
2166414,C00496034,N,M3,P,15,IND,WDM,IA,50266.0,missing,retired,2012-02-15,5.521460917862246,771852.0
1442579,C00344721,A,12G,G,15,IND,SALT LAKE CITY,UT,84106.0,retired,retired,2012-10-11,5.521460917862246,860910.0
1856872,C00431445,A,30G,G,15,IND,BERKELEY,CA,94707.0,missing,retired,2012-10-22,5.521460917862246,876050.0
612034,C00492108,N,Q2,P,15,IND,OMAHA,NE,68130.0,missing,retired,2011-06-30,7.824046010856292,738544.0
1980240,C00518282,A,12G,P,15,IND,GREENVILLE,SC,29605.0,missing,retired,2012-10-04,5.5254529391317835,894334.0
917549,C00042366,A,M9,Desconhecido,15,IND,MADISON,WI,53713.0,information requested,retired,2011-08-12,5.521460917862246,746283.0
158784,C00008086,A,M7,Desconhecido,15,IND,HAMILTON,MT,59840.0,missing,retired,2011-06-22,5.857933154483459,754399.0
3030599,C00410639,A,12G,G,15,IND,DENVER,CO,80202.0,missing,retired,2012-10-05,5.298317366548036,889171.0
623943,C00279505,N,MY,Desconhecido,15,IND,LAMONTE,MO,65337.0,missing,retired,2011-05-19,6.214608098422191,738496.0
1785063,C00513739,A,Q3,G,15,IND,WESTPORT,CT,6880.0,missing,retired,2012-08-02,6.214608098422191,872141.0
793039,C00140061,N,YE,Desconhecido,15,IND,PARK CITY,UT,84060.0,missing,retired,2011-10-13,6.907755278982137,761354.0
39563,C00219568,N,12R,Desconhecido,15,IND,PASADENA,CA,91103.0,missing,retired,2011-06-22,5.986452005284438,732615.0
2788652,C00084475,N,M8,Desconhecido,15,IND,NORTH OAKS,MN,55127.0,missing,retired,2012-07-31,6.030685260261263,804217.0
3215246,C00431171,A,12G,G,15,IND,DOTHAN,AL,36302.0,missing,retired,2012-10-03,5.521460917862246,933475.0
1155667,C00496703,A,12P,P,15,IND,CONCORD,MA,1742.0,missing,retired,2012-04-19,7.824046010856292,805078.0
2219357,C00524223,N,Q2,P,15C,IND,SEBASTIAN,FL,32958,missing,retired,2012-01-05,4.605170185988092,806713.0
3183747,C00518282,A,Q3,P,15,IND,SAINT PETERSBURG,FL,33715.0,missing,retired,2012-09-11,5.521460917862246,889722.0
1788768,C00003418,A,30G,Desconhecido,15,IND,TAMPA,FL,33629.0,missing,retired,2012-10-23,5.298317366548036,872153.0
1623921,C00431445,A,M10,G,15,IND,LAWRENCEVILLE,PA,16929.0,missing,retired,2012-09-17,6.214608098422191,897086.0
3342836,C00431171,A,M10,G,15,IND,MCDONOUGH,GA,30253.0,missing,retired,2012-09-13,5.521460917862246,944828.0
1041736,C00401224,N,M4,Desconhecido,24T,IND,LOS ANGELES,CA,90004.0,missing,retired,2012-03-29,5.298317366548036,778552.0
12860,C00386532,N,Q1,P,15,IND,TYLER,TX,75703,missing,retired,2011-03-22,7.824046010856292,720858.0
2525427,C00042366,A,30G,Desconhecido,15E,IND,CHEVY CHASE,MD,20815.0,retired,retired,2012-10-21,5.521460917862246,857115.0
1612218,C00431445,A,M7,P,15,IND,NEEDHAM,MA,2492.0,missing,retired,2012-06-07,6.907755278982137,896900.0
2978478,C00365965,A,30G,Desconhecido,15,IND,KENNESAW,GA,30144.0,missing,retired,2012-11-05,5.521460917862246,845215.0
2646985,C00499053,A,Q1,P,15,IND,BLOOMINGTON,MN,554381628.0,missing,retired,2012-02-14,6.214608098422191,908352.0
1155412,C00193631,N,M7,Desconhecido,15,IND,CASTLE ROCK,CO,80109.0,missing,retired,2012-06-12,5.521460917862246,798601.0
2543504,C00431445,A,M8,P,15,IND,NAHANT,MA,1908.0,missing,retired,2012-07-13,6.907755278982137,896964.0
117924,C00010603,A,M3,Desconhecido,15,IND,SOMERVILLE,MA,2143.0,missing,retired,2011-02-16,5.497168225293202,746428.0
1779514,C00027466,A,M8,Desconhecido,15,IND,SANTA ANA,CA,92704.0,missing,retired,2012-07-25,5.521460917862246,808301.0
1801032,C00003418,A,M8,Desconhecido,15,IND,WARWICK,NY,10990.0,missing,retired,2012-07-26,5.521460917862246,872159.0
3144802,C00431171,A,12G,G,15,IND,OCALA,FL,34471,missing,retired,2012-10-15,5.521460917862246,933475.0
3310211,C00431171,A,M10,G,22Y,IND,SAN PEDRO,CA,90731.0,missing,retired,2012-09-07,3.6888794541139363,944828.0
1223908,C00264564,A,Q1,P,15,IND,KATONAH,NY,10536.0,missing,retired,2012-03-16,6.907755278982137,780645.0
2531649,C00505602,A,Q1,P,15,IND,CHARLESTOWN,MA,2129.0,missing,retired,2012-02-22,6.907755278982137,853743.0
1650197,C00431445,A,M7,P,15,IND,PEARLAND,TX,77581.0,missing,retired,2012-06-20,5.521460917862246,896900.0
2542739,C00431445,A,M8,P,15,IND,WOODBURY,NY,11797.0,missing,retired,2012-07-10,6.214608098422191,896964.0
2132668,C00494740,A,12G,G,15,IND,SOLANA BEACH,CA,92075,missing,retired,2012-10-07,6.214608098422191,870885.0
2388359,C00326801,A,Q2,P,15E,IND,BETHESDA,MD,20816.0,missing,retired,2012-06-26,6.214608098422191,802139.0
